Road_Name,Road_Type,County_Name
Puffin Drive,residential,Nairobi
Moi Road,unclassified,Nakuru
Mburu Gichua Road,tertiary,Nakuru
Maasai Avenue,residential,Nakuru
Bungalows Road,residential,Mombasa
Muhara Road,residential,Kiambu
Kijabe Road,residential,Kiambu
Cemetery Road,tertiary,Nairobi
Marsabit-Moyale Road,trunk,Marsabit
Mau Mau- Bumadeya- Port Victoria Road,tertiary,Busia
Apgei Road 2,unclassified,Busia
Mau Mau- Bumadeya- Port Victoria Road,tertiary,Busia
E157,tertiary,Busia
Apgei Road 2,unclassified,Busia
E157,tertiary,Busia
E157,tertiary,Busia
Apgei Road 2,unclassified,Busia
Apgei Road,tertiary,Busia
Inder Singh Street,residential,Nakuru
Saccurate Hospital Court,residential,Nairobi
Saccurate Hospital Court,residential,Nairobi
Saccurate Hospital Court,residential,Nairobi
Saccurate Hospital Court,residential,Nairobi
Penta Flowers Spine Road,track,Kiambu
Penta Flowers Spine Road,track,Murang'a
Penta Flowers Packhouse Road,track,Murang'a
Penta Flowers Thika GH 29 Road,track,Murang'a
Penta Flowers Thika GH 33 Road,track,Murang'a
Patel Road,unclassified,Kiambu
Ras Kisauni Road,tertiary,Mombasa
kayogo-orore rd,residential,Homa Bay
sori-magunga-sindo-mbita rd,trunk,Migori
sori-magunga-sindo-mbita rd,trunk,Homa Bay
magunga-otati-Got kojowi rd,tertiary,Migori
Sarman-Dunto Road,tertiary,Wajir
Kubidula-Sarman Road,unclassified,Wajir
Jaijai-Sarman Road,track,Wajir
Mt. Elgon National Park Road,track,Trans Nzoia
KMC Road,residential,Machakos
Sunrise Court,residential,Nairobi
Hill View Court,residential,Nairobi
Kabatini Road,unclassified,Nakuru
Kamuti-ini Road,residential,Kiambu
Amoni Borehole Village Path 1a,track,Busia
Sidzeni Road,unclassified,Kilifi
Katana Ngala Road,unclassified,Kilifi
Kilodi Road,unclassified,Kilifi
Kaumoni Road,residential,Nairobi
Roka Maweni Road,unclassified,Kilifi
Roka Road,unclassified,Kilifi
Sidzeni Road,unclassified,Kilifi
Soyosoyo Road,unclassified,Kilifi
Timboni Road,unclassified,Kilifi
Sisenye Path 1,residential,Busia
Mikauni-Masukanioni Road,unclassified,Kitui
Feeder Road,residential,Meru
Kibaoni Primary School Road,residential,Kilifi
Ndiru Road 3,residential,Siaya
Ndiru Road 1,residential,Siaya
Ndiru Road 2,residential,Siaya
Ndiru Road 2,residential,Siaya
Meru Farm Road,unclassified,Trans Nzoia
Nasewa Road,unclassified,Busia
Manyala Highway Road,path,Siaya
Uyombo Wireless Road,unclassified,Kilifi
Beach Lin Road,unclassified,Kilifi
Timboni Road,track,Kilifi
Sidzeni Road,residential,Kilifi
Roka Maweni Road,path,Kilifi
Roka Maweni Road,residential,Kilifi
Sisenye Main Road,unclassified,Busia
Convent Close,residential,Nairobi
One Way Okhi,residential,Nairobi
Gembe Hills Road,unclassified,Homa Bay
Tendwo Road,residential,Uasin Gishu
Haraka Dairy Uhuru Road,unclassified,Uasin Gishu
Mwanzwani Road,path,Kwale
Godoni-Chitsanze Road,unclassified,Kwale
Mandaari Road,unclassified,Kwale
Mwanzwani Primary School Road,unclassified,Kwale
Main Road,unclassified,Siaya
Mwanzwani Road,unclassified,Kwale
Koghis Road,unclassified,West Pokot
Kangoletiang Road,tertiary,West Pokot
Koghis Road,unclassified,West Pokot
Bumadeya Path 5,unclassified,Busia
