Road_Name,Road_Type,County_Name
Upper Hill Road,tertiary,Nairobi
Ngariama Lane,residential,Nairobi
Ngariama Lane,residential,Nairobi
Ngara Road,unclassified,Nairobi
Chambers Road,residential,Nairobi
Ngara Road,unclassified,Nairobi
Chambers Road,residential,Nairobi
Shillingi Road,residential,Nairobi
River Road,unclassified,Nairobi
Kienjeku Road,residential,Nairobi
Jodongo Road,residential,Nairobi
Mai Mahiu Road,residential,Nairobi
Old Mombasa Road,service,Nairobi
Teachers' Quarters Road,service,Nairobi
Wall Street,service,Nairobi
Old Mombasa Road,service,Nairobi
Muthaiga Round About,secondary,Nairobi
Muthaiga Lane,residential,Nairobi
Muthaiaga Road,secondary,Nairobi
City Park Close Two,residential,Nairobi
Rusinga Drive,residential,Kajiado
Airport South Road,unclassified,Nairobi
Karura Close,unclassified,Nairobi
Palm Villa,service,Nairobi
Mua Park Road,unclassified,Nairobi
Pipeline Path,path,Nairobi
Fika Bikeshare,footway,Nairobi
To Rama Huts,path,Kwale
Footpath,path,Kwale
sabasaba way,footway,Kwale
A way,footway,Kwale
Footpath,path,Kwale
Colobus Trust Monkey Trail,path,Kwale
Nomad Road,service,Kwale
Migombani,residential,Mombasa
Port Kilindini Road,service,Mombasa
MSC-Plaza,service,Mombasa
Dar Es Salam Road,service,Mombasa
Mwatate Street,residential,Mombasa
Mozambique Road,tertiary,Mombasa
MSC-Plaza,service,Mombasa
Mashundu Street,service,Mombasa
Taveta Road,residential,Mombasa
Chai Street,service,Mombasa
Abdel Nasser Road,residential,Mombasa
Hospital Road,residential,Mombasa
Turkana Road,residential,Mombasa
Mwakilingo Street,residential,Mombasa
Machakos Street,residential,Mombasa
Aga Khan Road,residential,Mombasa
Pickpocket alley,path,Mombasa
Haile Selassie Road,tertiary,Mombasa
Makongeni Road,residential,Mombasa
Simba Road,residential,Mombasa
Mwembe Road,residential,Mombasa
Kasuku Road,residential,Mombasa
Nyoka Road,residential,Mombasa
Mji Mpya Road,residential,Mombasa
6th Avenue,residential,Mombasa
Baobab Road,residential,Mombasa
4th Avenue,residential,Mombasa
Nehru Road,residential,Mombasa
Mwakilingo Street,residential,Mombasa
Biashara Street,residential,Mombasa
Mteza,unclassified,Kwale
Mama Ngina Road,residential,Mombasa
Park Lane,residential,Mombasa
Zimani Road,residential,Mombasa
Barracks Lane,living_street,Mombasa
Makoma Road,residential,Mombasa
Exhibition Lane,residential,Mombasa
Simba Lane,residential,Mombasa
Lantana Road,residential,Mombasa
Kasuku Road,residential,Mombasa
Mama Ngina Road,residential,Mombasa
Nyandarua Road,residential,Mombasa
Beach Road,secondary,Mombasa
Barracks Road,residential,Mombasa
Makoma Road,residential,Mombasa
Barracks Lane,living_street,Mombasa
Jamhuri Road,residential,Mombasa
Chui Road,residential,Mombasa
Kasuku Road,residential,Mombasa
Nyoka Road,residential,Mombasa
Mwabundu Road,residential,Mombasa
Mama Ngina Road,residential,Mombasa
Makoma Road,residential,Mombasa
Mzee Jama,residential,Mombasa
Mbuni Road,residential,Mombasa
Beach Road,secondary,Mombasa
Twiga Road,residential,Mombasa
Makongeni Road,residential,Mombasa
Impala Road,residential,Mombasa
Twiga Road,residential,Mombasa
Greenwood Lane,residential,Mombasa
Kongoni Road,tertiary,Mombasa
Twiga Road,residential,Mombasa
Jarba-Duduma Add Road,track,Wajir
Kwarara Road,residential,Nairobi
Jarba-Duduma Add Road,track,Wajir
Msanaka Road,residential,Nairobi
Geoffery Kamau Avenue,trunk,Nakuru
Path to hill,footway,West Pokot
Quarry Lane,residential,Nairobi
Tigoni Towers,service,Nairobi
Maasai Road,service,Nairobi
Tuzo Road,service,Nairobi
Amani Road,service,Nairobi
E234,unclassified,Nandi
Sansora Road,living_street,Kisii
Roga-Marani,residential,Kisii
Uhuru,residential,Siaya
Uhuru Road,living_street,Kisumu
Awuor-Otieno Road,secondary,Kisumu
Bypass Highway,primary,Kisumu
nanjomi path 1,path,Busia
Gigiri Rise,service,Nairobi
Ring Road Kileleshwa,secondary,Nairobi
Migori Road,residential,Nairobi
Mandera Road,residential,Nairobi
Oloitokitok Road,secondary,Nairobi
Uhembo-Nyadhi Link,unclassified,Siaya
Mukinduri Road,unclassified,Nairobi
Murishu Road,residential,Nairobi
St Michael Road,residential,Nairobi
Kanyagia Drive,residential,Nairobi
Mau Mau Road,unclassified,Nairobi
River Road,trunk,Nairobi
Southern Bypass,trunk,Nairobi
Southern Bypass,trunk,Nairobi
Southern Bypass,trunk,Nairobi
Southern Bypass,trunk,Nairobi
Southern Bypass,trunk,Nairobi
Post Office Walk,service,Nairobi
Bamboo Lane,residential,Kiambu
Road to Maili Saba,residential,Nakuru
Ndorobo Road,residential,Kajiado
Ndorobo Road,residential,Nairobi
Prof. Wangari Maathai Road,primary,Nairobi
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Forest Lane,unclassified,Nairobi
Forest Lane,unclassified,Nairobi
Prof. Wangari Maathai Road,primary_link,Nairobi
Kitale-Suam Road,trunk,Trans Nzoia
Orchid Court,service,Nairobi
Orchid Court,service,Nairobi
Forest Edge Road,unclassified,Nairobi
Kanyariri-Gitaru Road,residential,Kiambu
Lions Rock Circuit,track,Taita Taveta
Lions Rock Circuit,track,Taita Taveta
Dasheq-Lafaley Road,unclassified,Wajir
Mandera Road,residential,Nairobi
Diani Road,residential,Nairobi
Marine Park Road,residential,Kilifi
Moyne Dr Road,service,Mombasa
Khorof Harar-Gumurey Road,unclassified,Wajir
Homabay-Rongo,trunk,Homa Bay
Kilungu Road,residential,Nairobi
Mwatate - Kasigau - Maungu,tertiary,Taita Taveta
Mansa-Kutolo Road,tertiary,Wajir
Samburu-Mwangea Acces Road,unclassified,Kwale
Ndwaru Road,residential,Nairobi
Kwale Road,residential,Mombasa
Haile Selassie Road,tertiary,Mombasa
Dedan Kimathi Avenue,tertiary,Mombasa
Mimosa Grove,residential,Nairobi
Mchanga,unclassified,Taita Taveta
Ishara Drive,residential,Machakos
Ishara Drive,residential,Machakos
Chui Lane,residential,Kajiado
Mbembe,unclassified,Taita Taveta
Irindinyi,unclassified,Taita Taveta
Ndabibi - Seru Road,residential,Nakuru
Aboretum Drive,residential,Nairobi
Kilifi Road,tertiary,Kilifi
Uhuru Street,residential,Kiambu
Farasi Lane,residential,Nairobi
Kiriti Road,residential,Kiambu
King'eero Catholic Church Road,residential,Kiambu
Muthaiga Palm Gardens,residential,Nairobi
Pinto Road,residential,Kajiado
Tom Mboya Street,secondary,Nairobi
Muthaiga Palm Gardens,residential,Nairobi
Muthaiga Palm Gardens,residential,Nairobi
Kitumbo Road,residential,Mombasa
Panda Drive,residential,Kiambu
Professional Street,service,Nairobi
"Kerwa, Kany'anjara Nduma Road",residential,Kiambu
Vijana Road,residential,Nairobi
Vijana Road,residential,Nairobi
Mwatate - Kasigau,tertiary,Taita Taveta
Ndolwa Road,unclassified,Taita Taveta
Kalesa Mata Jala reroute,unclassified,Marsabit
Endebess Village Route,path,Trans Nzoia
Morijo Pry Road,residential,Samburu
Riverside Drive,residential,Kiambu
Napetet Road,secondary,Turkana
Isiolo-Mandera Road,trunk,Wajir
Koghis Road,unclassified,West Pokot
Link Road,residential,Kiambu
Kwangamoru Road 3,unclassified,Busia
Moi Avenue,tertiary,Bungoma
Chogoria Kirurumwe Road,tertiary,Tharaka-Nithi
Thigiri Grove,service,Nairobi
Limuru Road,secondary,Kiambu
Foot Path,residential,Kiambu
Limuru Road,secondary,Nairobi
Kigwa Close,residential,Nairobi
Green View Court,residential,Nairobi
Zion Ct,residential,Machakos
Chess Bump Drive,residential,Kiambu
Ibis Close,residential,Nairobi
Hekima Gardens,residential,Nairobi
Ndovu Close,residential,Nairobi
Ngong Road,secondary,Nairobi
Daisy Trail,footway,Nairobi
Maboko Road,residential,Nairobi
Church Road,residential,Makueni
Ngong Hills Circuit,tertiary,Kajiado
Kiroe Mahuaini Mirithu Road,residential,Kiambu
Kiroe Mahuaini Mirithu Road,residential,Kiambu
Moi Girls Kamangu Road,residential,Kiambu
Dennis Pritt Road,secondary,Nairobi
Margaret Wambui Kenyatta Road,unclassified,Nairobi
Kingswood Apartments,service,Nairobi
Apple Cross Road,residential,Nairobi
Margaret Wambui Kenyatta Road,unclassified,Nairobi
Lantana Gardens,service,Nairobi
Galberobe Road,residential,Nairobi
Ngara Road,secondary,Nairobi
Dr. G.W. Griffin Road,secondary,Nairobi
mzee ni wewe,path,Nairobi
Kivu Road,residential,Nairobi
Rare Court,residential,Nairobi
Jogoo Road,secondary,Nairobi
Timboroa Street,service,Nairobi
Juja Road,secondary,Nairobi
Riverside Westlands Lane,secondary,Nairobi
Kilimanjaro Avenue,residential,Nairobi
Upper Hill Close,residential,Nairobi
State House Road,secondary,Nairobi
Ngong Country Club Road,residential,Kajiado
Ngong Country Club Road,residential,Kajiado
Amani Close,residential,Nairobi
St Annes Road,residential,Nairobi
Buffalo Close,residential,Kajiado
Lodwar-Lokichogio Road,trunk,Turkana
Lodwar-Lokichogio Road,trunk,Turkana
Langata Road,secondary,Nairobi
Rugunga Lane,residential,Nairobi
Muhuti Crescent,residential,Nairobi
Kadong Road,residential,Nairobi
Johari Pl,residential,Machakos
Kutch Road,service,Machakos
Mombasa Road,trunk,Nairobi
Mombasa Road,trunk,Nairobi
JK International Airport Cargo Parking,service,Nairobi
Mama Ng'endo Road,unclassified,Nairobi
Mwaalika Court,residential,Nairobi
Bishop Mwana Nzeki Road,residential,Nairobi
Roosters Inn Road,service,Nairobi
Northern Bypass,primary,Nairobi
Ghana Street,residential,Kiambu
Harare Street,residential,Kiambu
Rashid Road,residential,Machakos
Katumani - Konza Road,secondary,Machakos
training,unclassified,Makueni
D267J1,tertiary,Kakamega
Muindu Mbingu Road,service,Kiambu
General Kago Road,unclassified,Kiambu
Amazon 1,residential,Kiambu
Bypass Highway,primary,Kisumu
Kabuba Road,residential,Nakuru
Solai Kart Race Course,service,Nakuru
Matangi Road,residential,Kiambu
Moi Road,tertiary,Kiambu
Karangi Road,unclassified,Kiambu
Old Highway,unclassified,Kiambu
Pumphouse Trail,path,Kakamega
Koinange Road,secondary,Nyandarua
Tabor Hill Road,unclassified,Nyandarua
Tabor Hill Road,residential,Nyandarua
R36,unclassified,Nandi
Katito-Kendu Bay-Homa Bay road,trunk,Kisumu
Webuye Road,unclassified,Bungoma
Runyenjes-Rukuriri Road,residential,Embu
Aboke - Uyundo Road,unclassified,Siaya
Nambale Path,service,Busia
Sikinga Road A,path,Busia
Quarry Road,unclassified,Bomet
Siaya,path,Siaya
Eldoret-Malaba Road,trunk,Kakamega
Eldoret Road,trunk,Kakamega
Uhuru Path,path,Siaya
Potters road,unclassified,Baringo
Sosio- Chesamisi Road,tertiary,Bungoma
waterfalls,path,Trans Nzoia
Kambi Road,service,Kiambu
unpaved access road,path,Murang'a
Kitum Cave Trail,path,Trans Nzoia
Garissa Road,trunk,Kitui
kiomo-kakongo road,unclassified,Kitui
Nyaera-Irianyi Road,residential,Nyamira
from luanda,unclassified,Vihiga
A1 Kisii-Keroka-Sotik-Litein-Chemosit-A12 Kericho,trunk,Kisii
Eka Tano Road,unclassified,Trans Nzoia
Kisii-Kilgoris Road,secondary,Kisii
footpath,path,Migori
Stage Street Road,residential,Bungoma
Esirisia Road,unclassified,Busia
Odiado C,path,Busia
Odiado E,path,Busia
R7,tertiary,Homa Bay
tullow route,path,Baringo
Kabarnet to Kabartonjo Road,secondary,Baringo
D281,tertiary,Bungoma
Luthehe 4,residential,Siaya
Osia Village Path 2,service,Busia
14 Falls Road,tertiary,Kiambu
Nyeri-Nyahururu Highway,trunk,Nyeri
Nyeri-Nyahururu Highway,trunk,Nyeri
Mombasa Road,trunk,Nairobi
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Langata Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
E237,unclassified,Kakamega
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Naivasha-Mai Mahiu-Limuru Road,trunk,Nakuru
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Dagoretti Road,secondary,Nairobi
Lower Kabete Road,secondary,Nairobi
Penta Flowers Thika Swamp Road,track,Murang'a
Nginyo Kinyua Road,residential,Kiambu
1st Street,residential,Nairobi
7ᵗʰ Street,residential,Nairobi
E688 Sangenyi - E688 Kishushe,unclassified,Taita Taveta
2ⁿᵈ Street,residential,Nairobi
4ᵗʰ Street,residential,Nairobi
Red Soil Street,residential,Nairobi
3ʳᵈ Street,residential,Nairobi
Catholic Road,residential,Nairobi
A109 Ikanga - Kirutai,unclassified,Taita Taveta
Mutomo Road,residential,Nairobi
Thika Road,secondary,Nairobi
Thika Road,secondary,Nairobi
Thika Road,trunk,Nairobi
Aquatic Close,service,Nairobi
Thika Road,trunk,Nairobi
Thika Road,trunk,Nairobi
Thika Road,secondary,Nairobi
Thika Road,secondary,Nairobi
RS,track,Migori
Tertiary Road,track,Migori
Tertiary Road,track,Migori
Garissa-Daadab Road,trunk,Tana River
Garissa-Daadab Road,trunk,Tana River
Garisa-Rahole Road,unclassified,Garissa
Rongo-Kisii Road,trunk,Kisii
Mukirae Road,residential,Kiambu
Tumaini Gilgil Road,tertiary,Nakuru
Okore Road,tertiary,Kisumu
Kinsasha Road,residential,Nairobi
#GoGiveBack,path,Narok
Likoni-Ukunda Road,trunk,Mombasa
Likoni-Ukunda Road,trunk,Kwale
Likoni-Ukunda Road,trunk,Mombasa
Likoni-Ukunda Road,trunk,Kwale
Likoni-Ukunda Road,trunk,Kwale
Likoni-Ukunda Road,trunk,Mombasa
Likoni-Ukunda Road,trunk,Mombasa
Likoni-Ukunda Road,trunk,Mombasa
Likoni-Ukunda Road,trunk,Kwale
Tseikuru _Usueni Road,secondary,Kitui
Kipasi-Misori Rd.,primary,Siaya
Gedi Road,service,Nairobi
Kolloh Road,residential,Nairobi
Jacaranda Avenue,unclassified,Nairobi
Wikithuki- Kamali Road,tertiary,Kitui
Kwa Kamuru-Kaningo-Kora Reserve HQ Road,tertiary,Kitui
Kalimbui-Kakauni road,tertiary,Kitui
Mughuusi-Kwa Mwinzi Road,tertiary,Kitui
musavani road,tertiary,Kitui
Ngomano -Mataka Road,unclassified,Kitui
Kimangao -Mandala Road,unclassified,Kitui
Mataka -Mwangea Road,unclassified,Kitui
Kimangao -Mandala Road,tertiary,Kitui
Kakauni- Nzula-Mulangoni,unclassified,Kitui
Kingara Road,secondary,Nairobi
Nyahururu-Rumuruti Road,trunk,Laikipia
Eburru Road,unclassified,Nakuru
KMA Bamboo Lane Apartments,service,Nairobi
Road,unclassified,Garissa
Road,track,Garissa
Irindinyi,path,Taita Taveta
Mbembe,path,Taita Taveta
Mbembe,path,Taita Taveta
Eldoret-Malaba Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,primary,Kisii
Koganga Link,residential,Siaya
North-East Boundary,unclassified,Taita Taveta
Ndovu Lane,residential,Nairobi
North-East Boundary,unclassified,Taita Taveta
Kahawa Footbridge,footway,Kiambu
way 1235220930,trunk,Narok
Aberdare Hills-Panda Flowers Road 1,residential,Nakuru
Mombasa Road,trunk,Nairobi
Obote Road,trunk,Kisumu
Ndima Road,tertiary,Nyeri
Lokapel Lokichar Road,unclassified,Turkana
Thigiri Ridge Road,tertiary,Nairobi
Thika Road,trunk,Kiambu
Thika Road,trunk,Kiambu
Ruiru Kamiti Road,primary,Kiambu
East Boundary Road,service,Kilifi
Twiga Lodge Road,unclassified,Kwale
Magadi Road,trunk,Kajiado
Helena Road,residential,Kajiado
Sadi Road,residential,Nairobi
Workshop Road,unclassified,Kiambu
Kenyatta Highway,unclassified,Kiambu
Oau Road,residential,Kiambu
Kenyatta Highway,unclassified,Kiambu
Workshop Road,unclassified,Kiambu
Kenyatta Highway,unclassified,Kiambu
Mgoko Road,residential,Kiambu
Garissa Road,trunk,Kiambu
Kenyatta Highway,unclassified,Kiambu
Heron Drive,residential,Nairobi
Lunga Lunga Roundabout,tertiary,Nairobi
Nairobi Park East Gate Road,unclassified,Nairobi
Old Mombasa Road,service,Nairobi
Eliud Mathu Street,residential,Nairobi
Nakuru - Sigor Road,primary,Elgeyo-Marakwet
Commercial Street,unclassified,Nairobi
Red Hill Road,secondary,Nairobi
Ngong Road,service,Nairobi
Gilgil-Nyahururu Road,trunk,Nyandarua
Lenana Road,residential,Nairobi
Lenana Road,residential,Nairobi
Spanish Villas,service,Nairobi
Oakpark Apartements,service,Nairobi
Mimosa Vale,residential,Nairobi
Mimosa Road,residential,Nairobi
Fire Station Lane,living_street,Nairobi
Sabasaba Lane,residential,Nairobi
Ngong Road,secondary,Nairobi
Milima Road,residential,Nairobi
Vanga Road,residential,Nairobi
Msanduku Lane,residential,Nairobi
Aoko Road,residential,Nairobi
Mtelo Road,residential,Nairobi
Muhuti Avenue,residential,Nairobi
Mtelo Road,residential,Nairobi
Sabasaba Lane,residential,Nairobi
Sabasaba Lane,residential,Nairobi
Masanduku Lane,residential,Nairobi
Thigiri Lane,residential,Nairobi
Gitanga Road,secondary,Nairobi
Gitanga Road,secondary,Nairobi
James Gichuru Road,secondary,Nairobi
James Gichuru Road,secondary_link,Nairobi
kedong link,track,Nakuru
link kedong,residential,Nakuru
kedong Baffolo clearing,track,Nakuru
kedong erosion clearing,track,Nakuru
Metropolitan Estate,residential,Nairobi
Prof David Wasawo Drive,residential,Nairobi
Kedong Rpeater ring rd,track,Nakuru
Muthithi Road,unclassified,Nairobi
Lodwar Lorugum Road,secondary,Turkana
Spring Valley Ridge,residential,Nairobi
Koinage Road,tertiary,Mombasa
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,secondary,Turkana
Kayahwe Road,secondary,Nairobi
Limuru Road,secondary,Nairobi
Mua Park Close,residential,Nairobi
Mua Park Lane,residential,Nairobi
Impala,service,Nairobi
Brookside Close,residential,Nairobi
Matundu Lane,residential,Nairobi
Bohra Street,residential,Nairobi
Peponi Gardens,residential,Nairobi
Outer Ring Road,primary,Nairobi
Muguga Green,residential,Nairobi
Lodwar-Lokichogio Road,trunk,Turkana
Kenyatta Road,residential,Kericho
Eldoret-Kitale Road,trunk,Uasin Gishu
Eldoret-Kitale Road,trunk,Trans Nzoia
Kaumoni Close,residential,Nairobi
Isiolo-Mandera Road,trunk,Wajir
Isiolo-Mandera Road,trunk,Wajir
Isiolo-Mandera Road,trunk,Wajir
Isiolo-Mandera Road,trunk,Wajir
"Khumubeli-Bumala ""B"" Road",tertiary,Busia
Isiolo-Mandera Road,trunk,Wajir
kolwengo network rd,unclassified,Homa Bay
laks-aora olemo rd,residential,Homa Bay
kolwengo Network rd,unclassified,Homa Bay
kokwaro-aora olemo rd,unclassified,Homa Bay
lak nyiero- orore rd,unclassified,Homa Bay
orore-nyatambe-rasira rd,unclassified,Homa Bay
owich church road,residential,Homa Bay
Thiongo,residential,Nairobi
Sina Springs Road,track,Narok
Destiny saper farm,unclassified,Narok
Court Road,unclassified,Nakuru
Moi Road,unclassified,Nakuru
Thika Road,tertiary,Nairobi
Thika Road,secondary,Nairobi
Koriema-Sabor Road,unclassified,Baringo
Nguirubi Link Road,residential,Kiambu
panya route,unclassified,Wajir
Chalbi Drive,residential,Nairobi
Added Road,track,Lamu
Muhoya Avenue,residential,Nairobi
St Michael Road,residential,Nairobi
Emali Town Slip Road,unclassified,Makueni
Emali Town Slip Road,unclassified,Kajiado
To Naromoru Gate,unclassified,Nyeri
Nakuru - Sigor Road,primary,Elgeyo-Marakwet
Isiolo-Mandera Road,trunk,Meru
Malindi-Garsen Road,trunk,Kilifi
Ridgeway Drive,residential,Nairobi
Ridgeways Brook,residential,Nairobi
Ridgeways Springs,service,Nairobi
Paa Ya Paa Lane,residential,Nairobi
Ridgeways Springs,residential,Nairobi
Ridgeways Springs,residential,Nairobi
Ridgeways Road,residential,Nairobi
Ridgeways Road,tertiary,Nairobi
Ridgeways Springs,service,Nairobi
Ridgeways Springs,residential,Nairobi
Murang'a Road,primary,Nairobi
Destiny Road,residential,Kiambu
Uhuru Subway,unclassified,Siaya
Muthenya Road,unclassified,Nairobi
Riana Gardens,service,Nairobi
Outer Ring Road,primary,Nairobi
Thika Road,trunk,Nairobi
Thika Road,secondary,Nairobi
Thika Road,secondary,Nairobi
Thika Road,trunk,Nairobi
Thika Road,trunk,Nairobi
Thika Road,trunk,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Lower Bedi Road,unclassified,Nakuru
Thika Road,trunk,Nairobi
Thika Road,trunk,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Mombasa Road,trunk,Mombasa
Outer Ring Road,primary,Nairobi
path,unclassified,Turkana
Othaya Road,unclassified,Nairobi
Road C,unclassified,Nairobi
Kwa Shibu Road,residential,Mombasa
Kufanya Road,residential,Nakuru
Kwa Shibu Road,residential,Mombasa
Seminary Road,residential,Nairobi
Milimani Road,residential,Kajiado
Road,unclassified,Garissa
Karima Road,residential,Nakuru
Fairview Road,tertiary,Nairobi
Boma Road Kiambu,residential,Kiambu
Church Road,residential,Kiambu
Mwaalika Court,residential,Nairobi
Garse Ghoftu - Fatuma Nur Road,unclassified,Isiolo
Garse Ghoftu - Fatuma Nur Road,unclassified,Wajir
Kariuki Drive,residential,Kiambu
Limuru Road,secondary,Nairobi
Limuru Road,secondary,Kiambu
Kirung'e Drive,residential,Kiambu
Guango Road.,residential,Kiambu
Guango,residential,Kiambu
Nduta Drive,residential,Kiambu
Athi River Road,trunk,Kajiado
Dongo Kundu Bypass,trunk_link,Kwale
Malanga Street,service,Nairobi
General Waruingi Street,secondary,Nairobi
Waudo Street,unclassified,Nairobi
Meru Road,tertiary,Nairobi
Lenana Close,residential,Nairobi
Eastern Bypass,primary,Nairobi
Westlands Avenue,residential,Nairobi
Road to Shanqera Phase 2,track,Marsabit
Njuri Ncheke Street,residential,Meru
Njuri Ncheke Street,residential,Meru
Kenya Road,trunk,Busia
Kenya Road,trunk,Busia
Njuri Ncheke Street,residential,Meru
Lower Bedi Road,unclassified,Nakuru
Oginga Odinga Avenue,unclassified,Nakuru
Ndima Road,tertiary,Nyeri
Ndima Road,tertiary,Nyeri
Likoni-Ukunda Road,trunk,Mombasa
Mbaru Road,tertiary,West Pokot
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Maili Tatu- Mutuati Road,tertiary,Meru
Refinery Road,tertiary,Mombasa
Kirukuri Road,residential,Meru
Port Reitz Road,secondary,Mombasa
Port Reitz Road,secondary,Mombasa
Airport Road,secondary,Mombasa
Port Reitz Road,secondary,Mombasa
Port Reitz Road,secondary,Mombasa
Landie Road,unclassified,Nakuru
Landie Road,unclassified,Nakuru
Rongai Market Road,service,Kiambu
Dongo Kundu Bypass,trunk,Kwale
Mwache Bridge,trunk,Kwale
C14,unclassified,Narok
Rambo 2,unclassified,Siaya
Garden Estate Road,tertiary,Nairobi
Obama Road,unclassified,Homa Bay
Ukunda-Ramisi Road,trunk,Kwale
A1 Lodwar - Kalokol - Lokitaung - B71 Kachoda Road,secondary,Turkana
Walter Karanja Road,residential,Kiambu
Mahuaini Mirithu Kiroe Road,residential,Kiambu
Powerstar,residential,Nairobi
kinango-mariakani Road,trunk,Kwale
kinango-mariakani Road,trunk,Kwale
Tuum Lojorin Road,unclassified,Marsabit
Tuum Lojorin Road,unclassified,Samburu
Road to Alego Rabar,tertiary,Siaya
Getathuru Road,secondary,Nairobi
Getathuru Road,secondary,Kiambu
Lodwar-Lokichogio Road,trunk,Turkana
Thigiri Road,residential,Nairobi
Thigiri Road (temporarily inaccessible),residential,Nairobi
Masai Mara University,residential,Narok
Mt. Suswa Road,tertiary,Kajiado
Mt. Suswa Road,tertiary,Kajiado
Oloolua close,residential,Nairobi
Mt. Suswa Road,tertiary,Kiambu
Mt. Suswa Road,tertiary,Kiambu
Mt. Suswa Road,tertiary,Kajiado
Ngong Road,secondary,Kajiado
Ngong Road,secondary,Kajiado
Kaplong-Narok-Maai Road,trunk,Narok
Ngong Road,secondary,Nairobi
Westwood Park Road,residential,Nairobi
Langata Road,secondary,Nairobi
Langata Road,secondary,Nairobi
Langata Road,secondary,Nairobi
Langata Road,secondary,Nairobi
Langata Road,secondary,Nairobi
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Magongo Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Links Road,secondary,Mombasa
Links Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Links Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Cement Road,secondary,Mombasa
Links Road,secondary,Mombasa
Links Road,secondary,Mombasa
Links Road,secondary,Mombasa
Beira Road,secondary,Mombasa
Zanzibar Road,secondary,Mombasa
"Mombasa Road Mlolongo Footbridge, Mlolongo",footway,Machakos
Mombasa Road,trunk,Machakos
Moi Avenue,secondary,Mombasa
Moi Avenue,secondary,Mombasa
Moi Avenue,secondary,Mombasa
Mukumu - Lirhanda Road,unclassified,Kakamega
Moi Avenue,secondary,Mombasa
Tangana Road,secondary,Mombasa
Lumumba Road,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tangana Road,secondary,Mombasa
Moi Avenue,secondary,Mombasa
Moi Avenue,secondary,Mombasa
Diani Beach Road,primary,Kwale
Enterprise Road,secondary,Nairobi
Abdihafid road,residential,Nairobi
Elgon Road,tertiary,Nairobi
Mt. Suswa Road,tertiary,Kiambu
Mt. Suswa Road,tertiary,Kiambu
Mt. Suswa Road,tertiary,Kiambu
Pipeline,unclassified,Kajiado
Pipeline,unclassified,Kiambu
Pipeline,unclassified,Nakuru
Elgon Road,tertiary,Nairobi
Dar Es Salam Road,residential,Nairobi
Longonot Road,residential,Nairobi
Kenya Road,residential,Nairobi
Mawensi Garden,residential,Nairobi
Archbishop Makarios Road,tertiary,Mombasa
Tangana Road,secondary,Mombasa
Tangana Road,tertiary,Mombasa
Archbishop Makarios Road,tertiary,Mombasa
Archbishop Makarios Road,tertiary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tangana Road,secondary,Mombasa
Tangana Road,secondary,Mombasa
Tangana Road,secondary,Mombasa
Tangana Road,secondary,Mombasa
Tangana Road,tertiary,Mombasa
Tangana Road,tertiary,Mombasa
Miji Kenda Street,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Nkrumah Road,tertiary,Mombasa
Archbishop Makarios Road,tertiary,Mombasa
Mama Ngina Drive,tertiary,Mombasa
Tom Mboya Road,secondary,Mombasa
Tom Mboya Road,secondary,Mombasa
Lumumba Road,secondary,Mombasa
Kibos Road,primary,Kisumu
"Kerwa, Kany'anjara Nduma Road",residential,Kiambu
Ruiru Road,primary,Kiambu
Mama Ngina Drive,tertiary,Mombasa
Mama Ngina Drive,tertiary,Mombasa
Ruiru Road,primary,Kiambu
Bondo-Siaya Rd.,trunk,Siaya
Kyuna Crescent,residential,Nairobi
Kyuna Rise,residential,Nairobi
Mnazi Moja Road,secondary,Mombasa
