country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_225,Teso North Sub County,GpEIlwz3FvT
Kenya,KEN_1_3,Eastern,KEN_2_11,Isiolo,,Merti Sub County,NrGORu301bx
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_160,Marigat Sub County,dSLnPmNlm8Q
Kenya,KEN_1_4,Central,KEN_2_20,Kirinyaga,KEN_3_103,Kirinyaga Central Sub County,JKNaaTjVapG
Kenya,KEN_1_5,Rift Valley,KEN_2_26,Trans Nzoia,KEN_3_137,Endebess Sub County,PsjxYLsJSIp
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_238,Kisumu East Sub County,PRpKwAloU5b
Kenya,KEN_1_3,Eastern,KEN_2_10,Marsabit,KEN_3_48,LAISAMIS,eZpy65ooW0m
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,KEN_3_44,LAFEY,nsfbHBS9tMT
Kenya,KEN_1_5,Rift Valley,KEN_2_36,Bomet,KEN_3_196,Bomet East Sub County,OZNRpww2TUK
Kenya,KEN_1_5,Rift Valley,KEN_2_25,Samburu,KEN_3_135,Samburu East Sub County,ldZ10N9unC9
Kenya,KEN_1_4,Central,KEN_2_20,Kirinyaga,,Kirinyaga South Sub County,jHmpQUlnkQk
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_274,Westlands  Sub County,f1T0Ltob8VQ
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_212,Sabatia Sub County,urtJSF5jcBC
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_169,Gilgil Sub County,hBU8B1KI12P
Kenya,KEN_1_1,Coast,KEN_2_4,Tana River,KEN_3_18,Garsen Sub County,Lj0mu9j58Ss
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_5,Likoni  Sub County,iy93Mmi73Or
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_69,Mwingi Central Sub- County,uE7HKhqPOtf
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_241,Seme Sub County,LRNmnMw1fBs
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_189,Kipkelion West Sub County,Taw0Zg7nArd
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_127,Turkana South Sub County,iTw0sFjlqZ2
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_166,Molo  Sub County,RJ4LGJiSHFg
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_217,Sirisia Sub County,whWfFA9D7td
Kenya,KEN_1_1,Coast,KEN_2_2,Kwale,KEN_3_10,Kinango Sub County,LOgbecTRkbp
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_33,Wajir North Sub County,qsjAa8FE8OS
