country,province,county,Subcounty,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km,County,Total,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count,District Hospital,Health Centre,National Referral Hospital,Provincial General Hospital,raw_healthcare_capacity
Kenya,Central,Nyeri,Nyeri Central,36.96824254216052,-0.4212290024161258,332.2929019911232,321.7218906819264,318.25763879421874,308.48350368735294,53.199675962077286,Nyeri,140338.0,,,,,,,,,,,0.0,6.0,0.0,1.0,152.0
Kenya,Coast,Mombasa,Changamwe,39.616681007276135,-4.0288821406974975,789.6759904015221,788.2677004624069,791.6596511355921,797.0874982796958,537.6374871546798,,,22.76489827,Changamwe,-4.01733732,39.5916343,POINT (1233307.9353649972 -447008.92271234107),571.68951411971,785.738237418161,0.0,Mombasa,711.0,1.0,4.0,0.0,0.0,99.0
Kenya,Coast,Kilifi,Kaloleni,39.52438629303823,-3.764506405664457,763.3489060076755,761.3993039605883,764.3767056678217,768.7115541089036,507.3863444467181,Kilifi,193682.0,668.30555634,Kaloleni,-3.77395542,39.51836377,POINT (1225331.5195162394 -419866.1639780745),544.6202547223392,762.0327572078149,0.0,Kilifi,248.0,1.0,1.0,0.0,0.0,44.0
Kenya,Eastern,Machakos,Athi River,37.057486714604615,-1.4342996576436975,389.51950285020615,385.6327387016155,387.6586520764445,392.4251459386966,165.52113638456788,Machakos,322499.0,,,,,,,,,,,0.0,2.0,0.0,0.0,58.0
Kenya,Eastern,Machakos,Masinga,37.60756211645557,-0.9471606319840336,418.9763119181032,410.245930561192,408.0944408010435,400.4231130902602,128.82166811166005,Machakos,148522.0,1406.42807994,Masinga,-0.94995884,37.60357685,POINT (1012748.3201510739 -105341.16664804766),165.0159664302016,410.584414689647,0.0,Machakos,418.0,1.0,6.0,0.0,0.0,62.0
Kenya,Coast,Kilifi,Kilifi South,39.74432297651172,-3.809988124338312,785.7824760946497,783.4564157854276,786.1107673164192,789.4148623596344,525.2928284614,Kilifi,206753.0,424.28402133,Kilifi South,-3.81279831,39.74954662,POINT (1251139.8155399382 -424387.4059578541),563.0207562135249,784.8257436088593,0.0,Kilifi,248.0,0.0,4.0,0.0,0.0,47.0
Kenya,Central,Kirinyaga,Kirinyaga East,37.36172218418957,-0.482377168177764,376.14615803645233,365.0603325210583,360.9617385434464,348.3772196965117,70.44679396620069,Kirinyaga,135559.0,,,,,,,,,,,0.0,4.0,0.0,0.0,57.0
Kenya,North Eastern,Garissa,Garissa,39.683061019071694,-0.3030220944901227,625.0512581634601,610.3393411159356,602.4310755171117,576.0232925379355,298.2805829130698,Garissa,163914.0,,,,,,,,,,,0.0,4.0,0.0,1.0,122.0
Kenya,North Eastern,Garissa,Dadaab,40.33331156473981,0.0888659247453394,692.7418312112609,676.3801451595892,666.8519331287076,635.4258442813609,367.95442962712457,Garissa,185252.0,6925.1749762,Dadaab,0.06314251,40.26079878,POINT (1310130.5748954695 7035.946551822424),387.8647438137097,671.7328998268115,0.0,Garissa,66.0,0.0,4.0,0.0,0.0,46.0
Kenya,Central,Nyeri,Mukurweini,37.083595011949775,-0.5785707927840212,349.9735343215679,340.251635857033,337.46641374693456,329.2393434755426,70.63488637480033,,,,,,,,,,,,,1.0,3.0,0.0,0.0,55.0
Kenya,Western,Vihiga,Hamisi,34.82112139462037,0.0947054168602671,88.75934930084442,85.50754823618773,92.26324169633683,125.52407667034208,245.0352047515485,Vihiga,159241.0,186.65449763,Hamisi,0.09273769,34.83379077,POINT (704089.8159928976 10255.588919112124),220.2634052370028,86.41521395960046,0.0,Vihiga,112.0,0.0,7.0,0.0,0.0,44.0
Kenya,Nyanza,Siaya,Gem,34.453182459052506,0.0461517158904434,60.00160973666737,68.52590328106255,83.81063066985486,134.1414890074398,285.9075347935839,Siaya,179792.0,402.97620465,Gem,0.0401974,34.46389389,POINT (662912.5436822068 4444.480839061749),261.826419529545,68.68805959408645,0.0,Siaya,615.0,0.0,11.0,0.0,0.0,67.0
Kenya,Central,Kiambu,Ruiru,37.00344993075991,-1.1853669229241932,370.001908522442,364.7699135052556,365.7532611456401,367.9063947472557,137.81988118881603,Kiambu,371111.0,153.11843811,Ruiru,-1.19431299,37.01984706,POINT (947581.3099418315 -132335.3314885842),167.36052567769295,366.8693123115799,0.0,Kiambu,1758.0,0.0,4.0,0.0,0.0,132.0
Kenya,Rift Valley,Turkana,Turkana West,34.70493141110592,3.995653099269475,397.87530729656936,376.6059571862023,357.62508213751767,308.6525436665597,508.4479395856585,Turkana,239627.0,14684.24807286,Turkana West,4.05175781,34.59598106,POINT (677174.6611032898 448022.85624334845),482.2401796213648,380.0664571140397,0.0,Turkana,174.0,0.0,2.0,0.0,0.0,48.0
Kenya,Rift Valley,West Pokot,Pokot South,35.301467767299265,1.3363523898748393,163.60621848520825,138.15334047147272,118.96989593832753,64.68002739658861,238.81343193768345,West Pokot,80661.0,1267.74716967,Pokot South,1.33881199,35.29046562,POINT (754870.6424408345 148098.29751519836),203.74637561198176,138.01145363731453,0.0,West Pokot,175.0,0.0,1.0,0.0,0.0,32.0
Kenya,Rift Valley,Bomet,Bomet Central,35.31754289455869,-0.7234029193703049,188.1266588584577,190.5003817993155,198.6612963871252,225.71033613811488,208.5436130544691,Bomet,175215.0,268.95050205,Bomet Central,-0.73095473,35.3145147,POINT (757597.2376387125 -80858.90655042666),201.0598979544076,190.19235616293787,0.0,Bomet,92.0,0.0,2.0,0.0,0.0,35.0
Kenya,Central,Muranga,Muranga South,37.18074055794144,-0.8746920183481931,372.1058750198096,364.15778014454577,362.8340257151736,358.3562707655063,104.70782418450436,,,,,,,,,,,,,1.0,5.0,0.0,0.0,61.0
