Subcounty,adm2_pcode,adm1_name,adm1_pcode,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count
Lamu West,KE005022,Lamu,KE005,3893.53866231,Lamu West,-2.13176477,40.57036184,POINT (1344282.5392955109 -237709.1578696224),500.7601862318078,767.2179507648788,0.0,Lamu,20
Langata,KE047277,Nairobi,KE047,209.80909658,Langata,-1.36795212,36.81427782,POINT (924628.9861099627 -151537.9038364173),184.7763822437024,359.42628251078264,0.0,Nairobi,6010
Lari,KE022122,Kiambu,KE022,465.93739853,Lari,-0.91486224,36.64883462,POINT (906248.9330364543 -101326.6068634103),135.61662716525717,315.3085634154018,0.0,Kiambu,1758
Likoni,KE001005,Mombasa,KE001,52.07635363,Likoni,-4.10065341,39.64491,POINT (1239184.8043756285 -456328.78726582375),582.7069304022091,796.3004601777383,0.0,Mombasa,711
Likuyani,KE037200,Kakamega,KE037,301.2480612,Likuyani,0.76645887,35.10501219,POINT (734267.3798998552 84774.37086009748),195.79012196434735,94.16733298985712,0.0,Kakamega,179
Limuru,KE022121,Kiambu,KE022,284.96603698,Limuru,-1.14583211,36.64033253,POINT (905271.7875191902 -126906.76641850107),161.13439109002542,329.0962231707763,0.0,Kiambu,1758
Loima,KE023126,Turkana,KE023,9746.04173694,Loima,3.00930786,35.1116348,POINT (734703.4287945888 332849.1387301603),353.953057504295,279.2726052113031,0.0,Turkana,174
Luanda,KE038214,Vihiga,KE038,83.6174649,Luanda,0.0203111,34.59718573,POINT (677749.9495725035 2245.865253832561),247.35016074532916,76.61883232448434,0.0,Vihiga,112
Lugari,KE037199,Kakamega,KE037,367.77067673,Lugari,0.62087754,34.89963911,POINT (711408.931361952 68663.63735019528),214.68646958706825,70.0935230664892,0.0,Kakamega,179
Lunga Lunga,KE002008,Kwale,KE002,2018.80227785,Lunga Lunga,-4.4343217,39.10889721,POINT (1179026.9646083005 -492942.451484867),585.0917899883868,778.2273647423334,0.0,Kwale,218
Lurambi,KE037202,Kakamega,KE037,161.69211736,Lurambi,0.27300234,34.69449659,POINT (688580.5958109412 30188.253480982872),234.59066872211585,61.568360254759966,0.0,Kakamega,179
Maara,KE013061,Tharaka-Nithi,KE013,504.87742252,Maara,-0.2343772,37.65000227,POINT (1017997.3052570997 -25991.85270684302),111.817964582136,388.62784282591895,0.0,Tharaka-Nithi,59
Machakos Town,KE016081,Machakos,KE016,757.05682377,Machakos Town,-1.56862784,37.2550573,POINT (973743.0470689697 -173863.16479993574),213.1857113225544,412.071287741421,0.0,Machakos,418
Magarini,KE003017,Kilifi,KE003,6977.00857145,Magarini,-2.82928574,39.80753064,POINT (1258380.2183921984 -314955.46327944763),483.335488153283,727.1056764471144,0.0,Kilifi,248
Makadara,KE047287,Nairobi,KE047,11.99723439,Makadara,-1.29457182,36.86337877,POINT (930116.2525404467 -143417.3236735634),176.78714049581822,358.88730390813055,0.0,Nairobi,6010
Makueni,KE017086,Makueni,KE017,1979.75582989,Makueni,-1.95477062,37.6656393,POINT (1019445.6581746065 -216784.364023774),267.91982171102774,474.3654139528099,0.0,Makueni,173
Malava,KE037201,Kakamega,KE037,422.95850313,Malava,0.46962413,34.83729952,POINT (704473.8920673246 51934.466700000456),219.47587944411995,65.5896126433924,0.0,Kakamega,179
Malindi,KE003016,Kilifi,KE003,576.75761377,Malindi,-3.23196698,39.90335206,POINT (1268819.6440514498 -359854.1503019539),523.4535598769965,760.412824905417,0.0,Kilifi,248
Mandera East,KE009043,Mandera,KE009,2551.35587059,Mandera East,3.68396832,41.50129619,POINT (1447517.2618409933 411736.81456044747),646.7031029709619,875.7698281371901,0.0,Mandera,29
Mandera North,KE009041,Mandera,KE009,6129.76585199,Mandera North,3.60260564,40.64351088,POINT (1351387.851736704 401786.03434689733),564.9938221890956,783.9046854205417,0.0,Mandera,29
Mandera South,KE009042,Mandera,KE009,5541.34174917,Mandera South,2.72142878,40.74666943,POINT (1363685.9323545946 303587.0816180304),516.8772950440692,759.2991034958862,0.0,Mandera,29
Mandera West,KE009039,Mandera,KE009,5174.64427828,Mandera West,3.457671,40.05793672,POINT (1285940.5655554468 385111.9980003064),505.4058066803861,717.6685524358063,0.0,Mandera,29
Manyatta,KE014063,Embu,KE014,358.12934808,Manyatta,-0.37145568,37.44821558,POINT (995465.9860730546 -41181.89953401817),103.76365869629952,371.08176431269055,0.0,Embu,66
Maragwa,KE021108,Murang'a,KE021,461.98392841,Maragwa,-0.87824159,37.21574477,POINT (969478.5667868943 -97337.25965137691),138.54485526154588,368.2005320560221,0.0,Murang'a,102
Marakwet East,KE028147,Elgeyo-Marakwet,KE028,810.53666154,Marakwet East,1.13445213,35.5893243,POINT (788169.5580024257 125520.19670809912),163.51493287307997,157.11602373830132,0.0,Elgeyo-Marakwet,48
Marakwet West,KE028148,Elgeyo-Marakwet,KE028,769.68888941,Marakwet West,1.02338442,35.4147959,POINT (768743.8083261709 113216.04203626604),173.89391607725543,134.66299140495892,0.0,Elgeyo-Marakwet,48
Masinga,KE016075,Machakos,KE016,1406.42807994,Masinga,-0.94995884,37.60357685,POINT (1012748.3201510739 -105341.16664804766),165.0159664302016,410.584414689647,0.0,Machakos,418
Matayos,KE040228,Busia,KE040,193.92215246,Matayos,0.38958422,34.18067736,POINT (631386.1735073415 43069.97403030386),291.93113282902874,28.377605015938837,0.0,Busia,485
Mathare,KE047290,Nairobi,KE047,2.90283576,Mathare,-1.25594747,36.87049393,POINT (930916.0506531473 -139139.54709385245),172.5469075408242,357.0127037661711,0.0,Nairobi,6010
Mathioya,KE021105,Murang'a,KE021,279.71824441,Mathioya,-0.63596023,36.99642543,POINT (945038.2393666185 -70465.22777190463),105.98236856554352,334.47860932688343,0.0,Murang'a,102
Mathira,KE019096,Nyeri,KE019,457.95821894,Mathira,-0.35618234,37.15120684,POINT (962323.8799137705 -39473.11001364949),82.58686720284078,339.04289287432465,0.0,Nyeri,222
Matuga,KE002009,Kwale,KE002,1053.85208386,Matuga,-4.2386692,39.41383203,POINT (1213244.6518852161 -471468.8967976075),582.1319461050255,787.3411206670228,0.0,Kwale,218
Matungu,KE037206,Kakamega,KE037,277.81050403,Matungu,0.38386236,34.46705847,POINT (663261.196859999 42442.336261540324),260.0534461445855,34.951874817314035,0.0,Kakamega,179
Matungulu,KE016078,Machakos,KE016,581.41586151,Matungulu,-1.20644343,37.25313449,POINT (973600.8651924857 -133719.0663777503),174.40753062022554,389.574715454271,0.0,Machakos,418
Mavoko,KE016080,Machakos,KE016,842.567792,Mavoko,-1.44663084,37.03988071,POINT (949770.1235074236 -160297.32974824932),195.35192136724743,384.7289137137659,0.0,Machakos,418
Mbooni,KE017083,Makueni,KE017,980.42325517,Mbooni,-1.65030828,37.59865069,POINT (1012056.7138568757 -183001.93100959354),233.79797948020143,448.639668446645,0.0,Makueni,173
Mogotio,KE030161,Baringo,KE030,1387.78053879,Mogotio,0.16560213,35.94638496,POINT (828003.0858883527 18328.40368252299),96.30865435974356,193.6071250650797,0.0,Baringo,211
Moiben,KE027143,Uasin Gishu,KE027,775.85033114,Moiben,0.7242198,35.39789789,POINT (766883.2469712296 80118.71087122397),163.15048342027254,125.99644508654502,0.0,Uasin Gishu,115
Molo,KE032166,Nakuru,KE032,511.1366102,Molo,-0.36309787,35.78461781,POINT (809974.9291442116 -40180.99344984321),134.9017792534737,201.26299657268848,0.0,Nakuru,649
Mosop,KE029156,Nandi,KE029,584.29753449,Mosop,0.41785023,35.06701199,POINT (730050.845130555 46215.28616593568),193.53660588876835,91.7713696274538,0.0,Nandi,45
Moyale,KE010045,Marsabit,KE010,9343.76584728,Moyale,2.90294072,38.84777847,POINT (1151014.9175371802 322551.9014535994),368.27626460973926,568.9861792756092,0.0,Marsabit,97
Msambweni,KE002007,Kwale,KE002,359.69657845,Msambweni,-4.37313248,39.4868758,POINT (1221274.219143082 -486495.4649497184),599.1613982666768,803.5192868732855,0.0,Kwale,218
Mt. Elgon,KE039216,Bungoma,KE039,954.89942907,Mt. Elgon,0.95938854,34.60373552,POINT (678454.2087546529 106083.18494066485),255.31153781699567,52.019849223327206,0.0,Bungoma,75
Muhoroni,KE042243,Kisumu,KE042,664.18695354,Muhoroni,-0.12642964,35.08095019,POINT (731608.3630012411 -13983.558158271122),197.27681112732853,123.07043082947574,0.0,Kisumu,313
Mukurweni,KE019098,Nyeri,KE019,178.35896515,Mukurweni,-0.57824859,37.07222721,POINT (953498.4765119273 -64076.71875551027),101.93152746764132,339.6131262405738,0.0,Nyeri,222
Mumias East,KE037205,Kakamega,KE037,174.96988208,Mumias East,0.33585585,34.58233593,POINT (676093.902470518 37136.423008315054),247.08844914957592,47.60534920226969,0.0,Kakamega,179
Mumias West,KE037204,Kakamega,KE037,138.33548583,Mumias West,0.27806666,34.42600084,POINT (658692.8282866615 30744.308731996152),264.47038776805954,42.6084226762542,0.0,Kakamega,179
Mvita,KE001006,Mombasa,KE001,14.71895865,Mvita,-4.05270054,39.66104458,POINT (1241032.019486925 -451007.4267066138),579.255033437835,794.1895585500251,0.0,Mombasa,711
Mwala,KE016082,Machakos,KE016,1018.84002522,Mwala,-1.40123239,37.52209964,POINT (1003572.9883096748 -155365.3136912509),205.0287207884443,426.4480468443098,0.0,Machakos,418
Mwatate,KE006025,Taita Taveta,KE006,3691.54930728,Mwatate,-3.73418255,38.29150832,POINT (1088406.1846543117 -414518.6430592782),477.2737761092688,659.0177235031573,0.0,Taita Taveta,282
Mwea,KE020100,Kirinyaga,KE020,432.50622431,Mwea,-0.65464971,37.38374169,POINT (988248.7506794756 -72572.21996294329),124.22682703140065,374.9472130555669,0.0,Kirinyaga,24
Mwingi East,KE015069,Kitui,KE015,4244.86494968,Mwingi East,-0.92633766,38.4686501,POINT (1109376.5410653541 -102859.47977639349),230.6530043570702,498.8332781953072,0.0,Kitui,302
Mwingi North,KE015067,Kitui,KE015,4697.32084279,Mwingi North,-0.40655901,38.29181956,POINT (1089676.8347496872 -45130.63872204553),184.04205045628464,462.813781484627,0.0,Kitui,302
Mwingi West,KE015068,Kitui,KE015,1180.62622373,Mwingi West,-0.95405507,37.97976817,POINT (1054750.4079930591 -105854.02759854626),191.4767658222086,449.1378681858434,0.0,Kitui,302
Naivasha,KE032168,Nakuru,KE032,1721.77461041,Naivasha,-0.88111109,36.36367928,POINT (874465.8388726104 -97558.50509174385),139.5585908884519,286.9058352927336,0.0,Nakuru,649
Nakuru Town East,KE032176,Nakuru,KE032,157.40521503,Nakuru Town East,-0.37519787,36.12374515,POINT (847760.6933996894 -41532.76878344414),106.177358114477,234.4752736363552,0.0,Nakuru,649
Nakuru Town West,KE032175,Nakuru,KE032,139.89161718,Nakuru Town West,-0.36934787,36.06101985,POINT (840771.0652169413 -40882.76482483468),110.81345048351898,228.02968453248667,0.0,Nakuru,649
