country,provpcode,province,ctypcode,county,scpcode,Subcounty,dhis2_id,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_121,Limuru,xhVi71INcFs,36.62700435926703,-1.142166103678299,331.6988452954679,327.8573094778046,330.1434693052014,336.76891964215656,140.1443192676066
Kenya,KEN_1_3,Eastern,KEN_2_11,Isiolo,KEN_3_49,Isiolo,I2LYLqKU6AW,37.480409413527255,0.5900235446145106,374.48620921006636,356.4416705983362,345.7292131348719,313.56104304019584,78.26140004935387
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_167,Njoro ,gSJXzH1DM75,35.96625062573514,-0.4792724800743251,231.18006322488893,225.27029446655507,226.51110392878573,233.56778296894788,131.75212235225388
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_173,Rongai ,OK0hW8DFHq3,35.992690822210726,-0.0998595558783966,218.10749846895828,207.78857161445833,205.34865597874654,202.9927696100966,115.98782285786676
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_116,Githunguri,E7tkGikenbD,36.79493596542749,-1.0699102046569071,343.5056619680916,338.36869914582996,339.53604447888546,342.7491452431856,127.54001333844178
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_256,Suna West,VtuwXD7O1O9,34.361011446156475,-1.092171841775382,175.45593890263692,192.41287989930515,209.9745467938756,260.37919148390904,322.3943494835591
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_231,Bunyala,zI6vnsXresW,34.02099297616832,0.0816835649211661,44.02919054126793,67.81013775914153,88.79546565566928,149.1985963876222,333.9776758030823
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_190,Ainamoi,GshNTMZJ5r1,35.278864326405305,-0.3074155500369823,155.4362644114583,153.18827956443818,158.41369619824607,180.4196773131377,198.2084642015741
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_180,Narok East,gZM3NbHaugk,36.1220478805407,-1.153166979766963,286.7887167638346,285.93998520935537,290.84901848443087,305.84762166970006,167.57429579564618
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_260,Kuria East,THm2tCJa2ZQ,34.63740038276993,-1.2776809980442956,202.45415828919087,216.58406740982596,232.39344467794265,277.9260391064466,303.9095612020524
Kenya,KEN_1_1,Coast,KEN_2_2,Kwale,KEN_3_9,Matuga,wUNEDOnx9uB,39.40731651735628,-4.248508386678783,787.8047148683471,787.5073792684718,791.7888205844386,799.8067771587864,546.7662395645141
Kenya,KEN_1_5,Rift Valley,KEN_2_28,Elgeyo-Marakwet,KEN_3_148,Marakwet West,fNCuk4Lpsnh,35.43891018752878,1.010019667451351,159.15838804217486,135.9227104742775,120.34946222085831,82.04891923436155,205.86585958105996
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_84,Kilome,XAy1bjurhLU,37.295122776790464,-1.8860574481175745,439.83420981005185,437.49037271604607,440.6240644694599,447.8055272107071,217.80301772546946
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_55,Tigania East,U3lGZ71W9Te,37.77878946325573,0.2602807669636955,408.0639013256716,391.82582382709006,382.8201522261327,355.23039978470354,86.96634686919525
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_214,Luanda,lkYdgjRSOoE,34.6003672234451,0.0211274379929489,73.2651254521482,77.36247344247379,89.65617120568973,134.1022971032952,269.5647183291569
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_11,Kilifi North,MEkEH8ZmcOU,39.90157122664141,-3.505666819117969,780.1747605217511,776.6061393429254,778.2518867593133,778.6566164972646,508.8118981204934
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,,Manga,f3AcdRzgTwz,34.86147613213338,-0.6567186350944071,149.97102865445385,157.85449194553362,170.26306111946408,209.18217976041976,253.14933691861782
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_251,Mbita,mCGytMcMf6y,34.25113595368861,-0.4961583587518372,108.10142499527221,125.92934497918455,144.3811490076017,198.15880055417588,314.37667146764244
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_56,Imenti North,BDxUGx86itV,37.70582819333801,0.0571757500762675,401.89455467166306,386.87532739741647,379.0591322875381,355.09295636724903,75.77219786028641
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_67,Mwingi North,KXM9VnhuLfP,38.316029670148765,-0.4720330736318431,478.6735980890049,465.9231580646969,460.0441607808287,440.74538520816697,155.07123733327583
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_205,Mumias East,FBteTV1eqB6,34.57179682450656,0.3206026369021581,53.34858760538999,48.16429505838419,57.103626019454104,101.57056511603368,274.32303387241734
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_289,Starehe ,nKHlZyN0lt9,36.83878887802447,-1.2975359270667457,360.84687172656004,357.05725215602763,359.2643844531786,365.05750700475363,151.68328544385665
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_157,Tiaty,st4v8xfqgJf,36.20145508337962,0.8675932464535018,236.27011471778283,215.73461256902806,202.91559038511227,168.06731418653587,128.6828411909851
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,,East Pokot,Mk4bMOSMRTB,35.86287965944748,1.196078662845974,210.62205036379115,187.19999566263132,170.9933952930238,125.81495246590517,181.13159964580407
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,,Kalama,pJDgmrxMQTn,37.22476650065957,-1.6583857415231675,418.7942899356568,415.51702938169905,417.95124070211943,423.42616838601776,191.69625893110913
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_81,Machakos,KXc4ez8OAFz,37.22726213777506,-1.5071204668121314,409.78112148290705,405.63637273886405,407.3872065596449,411.0498892974419,175.03680709033523
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,,Kutulo,iGFdm333PJ2,40.79644089331703,2.533259686152862,777.4275074310348,754.9140901805947,739.0800494713226,689.6620326998104,501.80879762881597
