Subcounty,Blood Bank,Dental Clinic,Dispensary,District Health Office,District Hospital,Eye Centre,Eye Clinic,Funeral Home (Stand-alone),Health Centre,Health Programme,Health Project,Laboratory (Stand-alone),Maternity Home,Medical Centre,Medical Clinic,National Referral Hospital,Not in List,Nursing Home,Other Hospital,Provincial General Hospital,Radiology Unit,Regional Blood Transfusion Centre,Rural Health Training Centre,Sub-District Hospital,Training Institution in Health (Stand-alone),VCT Centre (Stand-Alone),raw_healthcare_capacity
Nakuru North,0,0,5,0,1,0,0,0,10,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,67
Nambale,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Nandi Central,0,0,25,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,52
Nandi East,0,0,38,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,51
Nandi North,0,0,19,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,49
Nandi South,0,0,36,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,62
Narok North,0,0,33,0,1,0,0,0,9,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,1,88
Narok South,0,0,35,0,1,0,0,0,11,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,82
Ndhiwa,0,0,24,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,49
Njoro,0,0,21,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,50
North Horr,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
North Masaba,0,0,11,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,35
North Pokot,0,0,25,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
Nyahururu,0,0,12,0,1,0,0,0,3,0,0,0,0,1,5,0,0,1,3,0,0,0,0,0,0,0,56
Nyakach,0,0,16,0,1,0,0,0,5,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,50
Nyamache,0,0,7,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37
Nyamira,0,0,5,0,1,0,0,0,20,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,79
Nyamira North,0,0,13,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,51
Nyandarua Central,0,0,10,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,27
Nyandarua North,0,0,12,0,0,0,0,0,5,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,40
Nyandarua South,0,0,7,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,30
Nyandarua West,0,0,4,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26
Nyando,0,0,10,0,0,0,0,0,6,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,49
Nyatike,0,0,26,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,0,2,0,2,59
Nyeri Central,0,6,21,0,0,4,0,0,6,0,0,5,2,0,79,0,0,0,2,1,3,0,0,1,0,2,152
Nyeri South,0,0,22,0,0,0,0,0,2,0,0,2,1,0,21,0,0,1,0,0,0,0,0,1,0,0,61
Nzambani,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Nzaui,0,0,20,0,1,0,0,0,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,47
Pokot Central,0,0,20,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,33
Pokot South,0,0,17,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,32
Rabai,0,0,8,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19
Rachuonyo North,0,0,21,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,64
Rachuonyo South,0,0,24,0,1,0,0,0,10,0,0,0,0,0,6,0,0,4,0,0,0,0,0,1,0,4,84
Rarieda,0,0,14,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,55
Rongai,0,0,19,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,38
Rongo,0,0,6,0,1,0,0,0,3,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,30
Roysambu,0,0,16,0,0,0,0,0,9,0,0,0,1,0,41,0,0,1,3,0,0,0,0,0,0,5,108
Ruaraka,0,0,8,0,0,0,0,0,6,1,0,0,0,0,16,0,0,1,3,0,0,0,0,0,0,3,64
Ruiru,0,0,21,0,0,0,0,0,4,0,0,1,0,1,57,0,0,5,3,0,0,0,0,1,0,0,132
Sabatia,0,0,5,0,0,1,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,31
Samburu Central,0,0,32,0,1,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,55
Samburu East,0,0,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,31
Samburu North,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30
Sameta,0,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,25
Samia,0,0,10,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,28
Seme,0,0,17,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,40
Siaya,0,0,24,0,1,0,0,0,9,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,76
Sololo,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26
Sotik,0,0,31,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,48
South Gucha,0,0,11,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
Starehe,0,9,22,0,0,2,1,0,2,0,0,7,0,5,66,0,0,3,5,0,1,0,0,0,0,11,148
Suba,0,0,13,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,53
Subukia,0,0,7,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,38
Tana Delta,0,0,21,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,39
Tarbaj,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Taveta,0,0,9,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23
